model_id,gold_label,predicted_label,count
M0,conj,nmod,41
M0,obl:arg,obl:mod,30
M0,nmod,conj,22
M0,obl:mod,obl:arg,22
M0,obj,obl:mod,22
M0,nmod,appos,21
M0,obl:mod,obj,20
M0,nsubj:pass,nsubj,19
M0,appos,nmod,18
M0,punct,dep,17
M0,obl:arg,obj,15
M0,advcl,conj,15
M0,expl:subj,nsubj,14
M0,nsubj,nsubj:pass,14
M0,nsubj,obj,9
M0,obl:agent,obj,7
M0,obl:mod,nmod,7
M0,obj,obl:arg,6
M0,obl:agent,obl:arg,6
M0,acl:relcl,acl,6
M0,conj,obl:mod,6
M0,obl:mod,obl:agent,5
M0,expl:pv,obj,5
M0,parataxis,conj,5
M0,nsubj,obl:mod,5
M0,iobj,obj,5
M0,nmod,flat:name,5
M0,conj,parataxis,5
M0,obl:arg,advmod,4
M0,conj,xcomp,4
M0p,conj,nmod,41
M0p,obl:arg,obl:mod,30
M0p,obj,obl:mod,27
M0p,nmod,conj,25
M0p,appos,nmod,24
M0p,obl:mod,obl:arg,23
M0p,nmod,appos,20
M0p,obl:mod,obj,18
M0p,nsubj:pass,nsubj,17
M0p,nsubj,nsubj:pass,17
M0p,advcl,conj,17
M0p,obl:arg,obj,15
M0p,nsubj,obj,10
M0p,expl:subj,nsubj,9
M0p,acl:relcl,acl,9
M0p,obl:agent,obl:arg,8
M0p,obl:mod,nmod,8
M0p,conj,advcl,7
M0p,advcl,xcomp,7
M0p,obl:mod,obl:agent,6
M0p,obj,obl:arg,6
M0p,obl:agent,obl:mod,5
M0p,obj:lvc,obj,5
M0p,nsubj,expl:subj,5
M0p,conj,obl:mod,5
M0p,expl:pv,obj,4
M0p,obl:arg,advmod,4
M0p,iobj,obj,4
M0p,nmod,flat:name,4
M0p,parataxis,conj,4
M1,obl:mod,obl:arg,25
M1,nmod,appos,25
M1,obl:arg,obl:mod,21
M1,nsubj,obj,13
M1,aux:tense,aux:pass,12
M1,expl:subj,nsubj,10
M1,obj:agent,obj,7
M1,obl:mod,nmod,7
M1,nsubj:pass,nsubj,7
M1,conj,appos,7
M1,obj,nsubj,7
M1,nsubj,nsubj:pass,7
M1,obj,obl:mod,7
M1,obl:mod,nsubj,6
M1,nmod,conj,6
M1,obl:mod,obj,6
M1,acl:relcl,acl,6
M1,appos,nmod,6
M1,obl:arg,advmod,5
M1,nsubj,obl:mod,5
M1,advmod,mark,5
M1,advcl,conj,5
M1,advcl,obl:mod,5
M1,conj,obl:mod,4
M1,advmod,cc,4
M1,obj:lvc,obj,4
M1,advmod,obj,4
M1,mark,advmod,4
M1,ccomp,xcomp,4
M1,det,case,4
M2,obj,obl:mod,89
M2,conj,nmod,44
M2,obl:arg,obl:mod,38
M2,appos,nmod,32
M2,obl:mod,obj,26
M2,nmod,conj,21
M2,nsubj:pass,nsubj,21
M2,obl:arg,obj,20
M2,advcl,conj,20
M2,nsubj,obj,17
M2,expl:subj,nsubj,17
M2,iobj,nsubj,16
M2,nmod,amod,16
M2,obj,obl:arg,14
M2,advmod,mark,13
M2,amod,nmod,13
M2,nmod,appos,12
M2,acl,acl:relcl,11
M2,obl:mod,nsubj,11
M2,mark,obj,11
M2,obl:agent,obj,11
M2,aux:tense,aux:pass,11
M2,flat:name,nmod,11
M2,obl:mod,nmod,9
M2,flat:name,conj,9
M2,expl:pv,obj,8
M2,ccomp,xcomp,8
M2,det,nsubj,7
M2,mark,case,7
M2,mark,advmod,7
M2b,obl:mod,obl:arg,44
M2b,nmod,appos,17
M2b,nsubj,expl:subj,16
M2b,obj,iobj,14
M2b,obl:arg,obl:mod,14
M2b,nsubj,iobj,13
M2b,nsubj,obj,12
M2b,obl:mod,nmod,9
M2b,expl:pv,obj,7
M2b,nmod,conj,6
M2b,appos,nmod,6
M2b,appos,conj,6
M2b,obl:arg,advmod,5
M2b,obj:lvc,obj,5
M2b,expl:subj,nsubj,5
M2b,conj,advcl,5
M2b,obj,expl:pv,5
M2b,obj,obl:mod,5
M2b,nsubj:pass,nsubj,5
M2b,conj,appos,4
M2b,expl:pv,iobj,4
M2b,obj:agent,obj,4
M2b,obl:agent,obl:arg,4
M2b,advcl,conj,4
M2b,nsubj,nsubj:pass,4
M2b,det,case,4
M2b,ccomp,xcomp,4
M2b,advmod,obj,3
M2b,advmod,cc,3
M2b,csubj,xcomp,3
M3,obl:mod,obl:arg,29
M3,obl:arg,obl:mod,18
M3,nmod,appos,18
M3,obl:mod,nmod,11
M3,nsubj,nsubj:pass,9
M3,obj:lvc,obj,7
M3,parataxis,conj,6
M3,appos,conj,5
M3,obl:agent,obl:arg,5
M3,orphan,nmod,5
M3,obj,iobj,4
M3,obj:agent,obj,4
M3,nsubj,expl:subj,4
M3,obj,expl:pv,4
M3,flat:name,appos,4
M3,nmod,flat:name,4
M3,discourse,advmod,4
M3,expl:subj,nsubj,3
M3,obl:arg,advmod,3
M3,obj,obj:lvc,3
M3,conj,parataxis,3
M3,dislocated,nsubj,3
M3,obj,nsubj,3
M3,appos,nmod,3
M3,conj,acl:relcl,3
M3,expl:pv,expl:pass,3
M3,expl:pv,obj,3
M3,obj,xcomp,3
M3,parataxis,nmod,3
M3,cop,aux:pass,3
